,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
1351,Watford,Crystal Palace,0,58,42,11,2,3,1,8,0,0,1,4,0,6,1,5,1,1,4,193,143,74,66,42,33,18,11,2.96,3.44,2.55,D
1352,Huddersfield,Watford,1,42,58,7,4,1,2,3,2,3,0,1,2,2,3,5,1,1,1,194,263,81,86,20,26,6,5,4.34,3.81,1.87,A
1353,Chelsea,Man City,1,51,49,6,5,1,5,2,0,3,0,8,3,4,4,2,1,3,0,259,255,81,86,22,29,3,6,2.72,3.54,2.7,A
1354,Tottenham,Southampton,2,60,40,11,3,4,1,5,2,2,0,2,2,6,3,5,0,2,1,258,166,84,72,25,34,7,2,1.38,5.43,8.97,H
1355,Everton,Bournemouth,3,51,49,6,3,4,1,1,1,1,1,0,5,6,2,0,1,1,1,302,273,85,84,30,26,6,7,1.74,4.0,5.14,H
1356,Burnley,West Ham,1,60,40,8,3,2,3,4,0,2,0,3,2,2,1,6,2,2,2,237,153,78,72,27,23,12,12,2.8,3.23,2.83,D
1357,Swansea,Chelsea,1,49,51,2,14,0,4,1,7,1,3,1,8,0,9,2,5,3,0,243,249,82,86,20,33,4,7,5.77,4.17,1.65,D
1358,Everton,Leicester,2,68,32,6,4,3,1,3,3,0,0,4,2,6,3,0,1,0,1,283,132,76,52,34,38,13,12,2.07,3.8,3.65,A
1359,Leicester,West Ham,1,54,46,6,7,2,2,4,3,0,2,4,0,3,5,3,2,1,3,259,221,80,76,33,27,12,2,2.16,3.45,3.75,D
1360,Watford,Fulham,2,43,57,5,9,1,3,1,3,3,3,0,1,4,7,1,2,2,0,244,310,81,88,22,31,5,6,1.76,3.86,5.06,H
1361,Huddersfield,Liverpool,2,23,77,2,7,1,4,1,0,0,3,0,3,1,3,1,4,2,1,145,474,68,88,23,19,10,8,10.75,5.65,1.33,A
1362,Huddersfield,Southampton,2,57,43,3,5,0,3,1,2,2,0,4,0,2,2,1,3,1,0,259,193,74,68,34,23,20,8,3.08,3.11,2.68,A
1363,Crystal Palace,Aston Villa,0,46,54,5,7,1,2,3,3,1,2,0,3,1,4,4,3,2,1,204,230,79,83,24,35,12,17,1.85,3.63,4.89,H
1364,Man City,Tottenham,0,52,48,11,2,4,0,6,1,1,1,3,2,8,0,3,2,0,4,226,212,77,76,25,27,4,8,2.13,3.52,3.75,D
1365,Bournemouth,Burnley,1,56,44,7,8,0,3,2,1,5,4,2,6,3,5,4,3,2,0,253,189,79,78,24,24,13,7,2.0,3.39,4.47,A
1366,Chelsea,West Brom,1,55,45,12,5,4,0,3,5,5,0,4,4,9,2,3,3,0,3,271,211,83,82,44,28,10,12,1.4,5.1,9.05,H
1367,Everton,Arsenal,2,44,56,6,4,1,1,4,3,1,0,3,2,4,2,2,2,0,0,198,261,70,80,37,34,14,16,4.28,3.77,1.92,H
1368,Liverpool,Everton,3,54,46,5,3,3,1,0,1,2,1,1,2,4,2,1,1,0,0,282,231,80,72,47,42,17,17,1.73,3.97,5.25,H
1369,Watford,West Brom,0,61,39,8,3,3,0,4,2,1,1,2,2,5,2,3,1,0,3,240,155,84,72,22,30,7,10,2.25,3.41,3.54,D
1370,Crystal Palace,Everton,0,49,51,9,6,2,3,5,1,2,2,5,2,6,3,3,3,3,2,216,236,76,77,34,23,16,6,2.89,3.48,2.59,D
1371,Aston Villa,Norwich,1,57,43,5,4,0,2,3,2,2,0,1,2,4,1,2,3,2,0,230,167,80,72,26,27,8,6,2.44,3.27,3.28,H
1372,Crystal Palace,West Brom,0,65,35,4,3,1,0,2,3,1,0,3,1,1,1,3,2,0,2,341,174,88,79,45,35,8,6,1.75,4.01,4.86,H
1373,West Ham,West Brom,1,66,34,6,5,0,2,2,2,4,1,5,3,3,4,3,1,1,0,256,128,80,59,27,27,8,10,2.28,3.25,3.65,D
1374,Man City,Crystal Palace,1,68,32,12,4,3,0,5,1,4,3,4,0,11,2,1,2,0,2,349,159,89,74,18,28,7,6,1.15,10.0,18.5,H
1375,West Brom,Bournemouth,1,30,70,11,2,4,0,6,1,1,1,3,1,8,1,3,1,0,3,130,303,67,85,20,28,9,9,2.46,3.25,3.26,H
1376,Brighton,Newcastle,1,38,62,0,4,0,1,0,2,0,1,3,1,0,2,0,2,0,0,193,318,76,84,28,31,15,9,2.35,3.18,3.6,D
1377,Huddersfield,Everton,1,52,48,5,7,0,4,4,2,1,1,1,3,3,4,2,3,3,0,232,214,76,75,35,40,13,13,4.06,3.31,2.11,A
1378,Crystal Palace,Fulham,1,40,60,3,2,1,0,2,2,0,0,3,0,2,2,1,0,0,0,208,324,82,88,34,30,8,10,2.05,3.59,3.9,H
1379,Everton,Liverpool,2,49,51,5,9,3,3,1,4,1,2,2,8,3,8,2,1,2,2,191,189,76,78,32,30,8,10,2.75,3.42,2.75,D
1380,Swansea,Man City,2,40,60,7,7,3,1,3,4,1,2,0,4,6,3,1,4,0,2,195,289,78,85,17,30,3,7,9.45,5.31,1.38,A
1381,Cardiff,Arsenal,2,30,70,5,7,1,4,4,3,0,0,1,4,5,4,0,3,3,0,130,309,70,83,25,24,11,10,6.35,4.54,1.55,A
1382,Norwich,Swansea,0,28,72,3,3,1,0,2,2,0,1,2,1,1,1,2,2,0,1,155,395,77,89,17,19,4,6,2.46,3.47,3.06,H
1383,Huddersfield,Swansea,0,80,20,16,0,2,0,8,0,6,0,7,0,9,0,7,0,0,2,386,100,90,55,23,19,14,9,2.52,3.07,3.37,D
1384,Stoke,Hull,1,45,55,7,7,1,1,4,3,2,3,1,4,6,6,1,1,1,0,188,225,72,75,17,23,7,4,1.98,3.54,4.3,H
