;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
226;Giannina;Olympiakos;H;4.33;3.5;1.72;G1;2018-05-06
227;Panetolikos;Asteras Tripolis;A;4.33;3.5;1.72;G1;2018-05-06
228;Panionios;Levadeiakos;H;1.57;3.75;5.25;G1;2018-05-06
229;Panathinaikos;Xanthi;A;2.5;3.1;2.7;G1;2018-05-07
230;Auxerre;Lorient;D;1.91;3.3;4.2;F1;2010-08-07
231;Lens;Nancy;A;2.1;3.1;3.8;F1;2010-08-07
232;Lyon;Monaco;D;1.44;4.0;8.0;F1;2010-08-07
233;Marseille;Caen;A;1.25;5.5;12.0;F1;2010-08-07
234;Nice;Valenciennes;D;2.1;3.1;3.75;F1;2010-08-07
235;Paris SG;St Etienne;H;1.73;3.4;5.25;F1;2010-08-07
236;Rennes;Lille;D;2.4;3.1;3.1;F1;2010-08-07
237;Sochaux;Arles;H;1.8;3.25;5.0;F1;2010-08-07
238;Toulouse;Brest;H;1.62;3.5;6.0;F1;2010-08-07
239;Montpellier;Bordeaux;H;3.2;3.0;2.4;F1;2010-08-08
240;Arles;Lens;A;3.0;3.0;2.5;F1;2010-08-14
241;Bordeaux;Toulouse;A;1.6;3.6;6.25;F1;2010-08-15
242;Brest;Auxerre;D;3.1;2.9;2.5;F1;2010-08-14
243;Caen;Lyon;H;4.33;3.25;1.91;F1;2010-08-15
244;Lille;Paris SG;D;2.05;3.2;3.75;F1;2010-08-15
245;Lorient;Nice;A;1.95;3.2;4.2;F1;2010-08-14
246;Nancy;Rennes;A;2.6;3.0;2.88;F1;2010-08-14
247;St Etienne;Sochaux;H;2.0;3.1;4.2;F1;2010-08-14
248;Valenciennes;Marseille;H;3.75;3.25;2.05;F1;2010-08-14
249;Monaco;Montpellier;D;2.25;3.1;3.3;F1;2010-08-17
250;Auxerre;Valenciennes;D;2.2;3.0;3.6;F1;2010-08-21
251;Lens;Monaco;D;2.3;3.0;3.4;F1;2010-08-21
252;Lyon;Brest;H;1.4;4.5;7.5;F1;2010-08-21
253;Marseille;Lorient;H;1.62;3.4;6.5;F1;2010-08-21
254;Nice;Nancy;D;2.38;3.0;3.2;F1;2010-08-21
255;Rennes;St Etienne;D;1.75;3.3;5.25;F1;2010-08-21
256;Toulouse;Arles;H;1.62;3.6;6.0;F1;2010-08-21
257;Montpellier;Caen;D;2.1;3.1;3.75;F1;2010-08-22
258;Paris SG;Bordeaux;A;2.2;3.1;3.5;F1;2010-08-22
259;Sochaux;Lille;D;4.0;3.1;2.05;F1;2010-08-22
260;Arles;Rennes;A;3.25;3.0;2.38;F1;2010-08-28
261;Caen;Brest;A;1.91;3.25;4.33;F1;2010-08-28
262;Lorient;Lyon;H;3.25;3.1;2.3;F1;2010-08-28
263;Nancy;Toulouse;A;2.4;3.0;3.2;F1;2010-08-28
264;St Etienne;Lens;H;2.05;3.1;4.0;F1;2010-08-28
265;Valenciennes;Montpellier;A;2.2;3.0;3.6;F1;2010-08-28
266;Bordeaux;Marseille;D;2.4;3.1;3.1;F1;2010-08-29
267;Lille;Nice;D;1.5;3.75;7.5;F1;2010-08-29
268;Monaco;Auxerre;H;2.38;3.0;3.25;F1;2010-08-29
269;Sochaux;Paris SG;H;3.25;3.1;2.3;F1;2010-08-29
270;Auxerre;Caen;D;2.05;3.1;4.0;F1;2010-09-11
271;Lens;Lille;A;3.2;3.0;2.4;F1;2010-09-11
272;Lyon;Valenciennes;D;1.53;3.75;7.0;F1;2010-09-11
273;Montpellier;Nancy;A;1.85;3.2;4.75;F1;2010-09-11
274;Paris SG;Arles;H;1.4;4.33;8.5;F1;2010-09-11
275;Rennes;Sochaux;H;1.67;3.5;5.5;F1;2010-09-11
276;Toulouse;St Etienne;A;1.8;3.25;5.0;F1;2010-09-11
277;Brest;Lorient;D;2.5;3.0;3.0;F1;2010-09-12
278;Marseille;Monaco;D;1.6;3.6;6.0;F1;2010-09-12
279;Nice;Bordeaux;H;3.25;3.1;2.3;F1;2010-09-12
280;Arles;Marseille;A;5.25;3.6;1.67;F1;2010-09-18
281;Lorient;Caen;A;2.2;3.0;3.6;F1;2010-09-18
282;Monaco;Toulouse;D;2.3;3.0;3.4;F1;2010-09-18
283;Nancy;Brest;A;2.0;3.2;3.9;F1;2010-09-18
284;Sochaux;Nice;H;2.1;3.2;3.6;F1;2010-09-18
285;St Etienne;Montpellier;H;2.05;3.2;3.8;F1;2010-09-18
286;Valenciennes;Lens;D;2.1;3.1;3.4;F1;2010-09-18
287;Bordeaux;Lyon;H;2.55;3.0;2.9;F1;2010-09-19
288;Lille;Auxerre;H;1.85;3.25;4.6;F1;2010-09-19
289;Paris SG;Rennes;D;2.15;3.2;3.5;F1;2010-09-19
290;Auxerre;Nancy;D;2.0;3.2;4.0;F1;2010-09-25
291;Caen;Bordeaux;D;3.0;2.9;2.6;F1;2010-09-25
292;Lorient;Monaco;H;2.25;3.0;3.5;F1;2010-09-25
293;Lyon;St Etienne;A;1.7;3.4;5.5;F1;2010-09-25
294;Marseille;Sochaux;H;1.4;4.33;8.5;F1;2010-09-25
295;Montpellier;Arles;H;1.5;3.75;7.5;F1;2010-09-25
296;Nice;Rennes;A;2.75;2.9;2.8;F1;2010-09-25
297;Brest;Valenciennes;H;2.3;3.1;3.25;F1;2010-09-26
298;Lens;Paris SG;A;3.0;3.0;2.5;F1;2010-09-26
299;Toulouse;Lille;D;2.75;3.0;2.7;F1;2010-09-26
300;Arles;Auxerre;A;3.9;3.2;2.0;F1;2010-10-02
301;Bordeaux;Lorient;H;1.75;3.4;5.0;F1;2010-10-02
302;Monaco;Brest;A;1.91;3.2;4.33;F1;2010-10-02
303;Nancy;Lyon;A;3.5;3.1;2.2;F1;2010-10-02
304;Sochaux;Lens;H;2.1;3.2;3.6;F1;2010-10-02
305;St Etienne;Marseille;D;2.88;3.2;2.45;F1;2010-10-02
306;Valenciennes;Caen;H;2.2;3.1;3.5;F1;2010-10-02
307;Lille;Montpellier;H;1.7;3.4;5.25;F1;2010-10-03
308;Paris SG;Nice;D;1.62;3.6;6.0;F1;2010-10-03
309;Rennes;Toulouse;H;2.0;3.1;4.1;F1;2010-10-03
310;Auxerre;Bordeaux;A;2.5;3.0;3.0;F1;2010-10-16
311;Brest;Arles;D;1.57;3.6;6.5;F1;2010-10-16
312;Caen;Monaco;D;2.25;3.0;3.5;F1;2010-10-16
313;Marseille;Nancy;H;1.44;4.2;7.5;F1;2010-10-16
314;Montpellier;Sochaux;H;2.0;3.2;4.0;F1;2010-10-16
315;Toulouse;Paris SG;A;2.75;3.0;2.75;F1;2010-10-16
316;Lens;Rennes;D;3.2;3.0;2.4;F1;2010-10-17
317;Lorient;Valenciennes;H;2.0;3.2;4.0;F1;2010-10-17
318;Lyon;Lille;H;2.1;3.2;3.6;F1;2010-10-17
319;Nice;St Etienne;H;2.8;3.0;2.7;F1;2010-10-17
320;Bordeaux;Brest;A;1.6;3.6;6.0;F1;2010-10-23
321;Lens;Nice;H;2.15;3.1;3.6;F1;2010-10-23
322;Monaco;Valenciennes;A;2.0;3.2;3.9;F1;2010-10-23
323;Nancy;Lorient;H;2.35;3.0;3.25;F1;2010-10-23
324;Rennes;Montpellier;A;1.83;3.3;4.6;F1;2010-10-23
325;Sochaux;Toulouse;A;2.25;3.0;3.5;F1;2010-10-23
326;St Etienne;Caen;D;1.8;3.3;4.75;F1;2010-10-23
327;Arles;Lyon;D;7.0;4.0;1.5;F1;2010-10-24
328;Lille;Marseille;A;2.5;3.1;2.9;F1;2010-10-24
329;Paris SG;Auxerre;A;1.75;3.4;5.0;F1;2010-10-24
330;Auxerre;Nice;H;1.95;3.1;4.33;F1;2010-10-30
331;Brest;St Etienne;H;2.63;2.88;3.0;F1;2010-10-30
332;Caen;Nancy;A;2.05;3.0;4.0;F1;2010-10-30
333;Lorient;Arles;H;1.5;4.0;6.5;F1;2010-10-30
334;Lyon;Sochaux;H;1.5;4.0;6.5;F1;2010-10-30
335;Toulouse;Lens;D;1.75;3.3;5.25;F1;2010-10-30
336;Montpellier;Paris SG;D;2.6;2.9;3.0;F1;2010-10-31
337;Valenciennes;Lille;D;3.4;3.0;2.3;F1;2010-10-31
338;Monaco;Bordeaux;D;2.8;2.9;2.75;F1;2010-11-02
339;Arles;Caen;H;3.25;3.0;2.38;F1;2010-11-06
340;Bordeaux;Valenciennes;D;1.73;3.3;5.5;F1;2010-11-06
341;Rennes;Lyon;D;2.7;3.0;2.8;F1;2010-11-06
342;Sochaux;Auxerre;D;2.25;3.0;3.5;F1;2010-11-06
343;St Etienne;Lorient;A;1.91;3.25;4.33;F1;2010-11-06
344;Lens;Montpellier;H;2.38;3.0;3.25;F1;2010-11-07
345;Lille;Brest;H;1.67;3.5;5.5;F1;2010-11-07
346;Nancy;Monaco;A;2.2;3.0;3.6;F1;2010-11-07
347;Nice;Toulouse;H;2.6;3.0;2.9;F1;2010-11-07
348;Paris SG;Marseille;H;2.5;3.1;2.9;F1;2010-11-07
349;Bordeaux;Nancy;H;1.75;3.3;5.25;F1;2010-11-13
350;Brest;Sochaux;D;2.0;3.2;4.0;F1;2010-11-13
351;Caen;Lille;A;3.5;3.0;2.25;F1;2010-11-13
352;Marseille;Lens;D;1.4;4.2;9.0;F1;2010-11-13
353;Monaco;Arles;D;1.53;3.6;7.5;F1;2010-11-13
354;Montpellier;Toulouse;H;2.05;3.2;3.8;F1;2010-11-13
355;Auxerre;Rennes;H;2.4;3.0;3.2;F1;2010-11-14
