HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Malaga;Celta;H;2.1;3.3;3.5;SP1;2014-12-13;1765.54016113;1739.98498535
Osasuna;Eibar;D;3.6;3.4;2.1;SP1;2017-03-13;1538.49719238;1712.29699707
Betis;Osasuna;A;1.8;3.5;4.5;SP1;2014-01-12;1644.45751953;1657.20629883
Sevilla;Osasuna;H;1.5;4.2;6.5;SP1;2013-10-27;1744.92089844;1659.80383301
Leganes;Eibar;A;2.87;3.1;2.62;SP1;2018-02-10;1661.99914551;1716.00109863
Barcelona;Sevilla;H;1.19;7.5;12.0;SP1;2017-11-04;2026.31958008;1784.22900391
Eibar;Ath Bilbao;H;4.0;3.1;2.1;SP1;2015-08-30;1637.91687012;1801.48913574
Getafe;Ath Bilbao;H;2.3;3.0;3.5;SP1;2013-04-07;1738.44567871;1688.05810547
Barcelona;Atletico;D;1.85;3.8;4.5;SP1;2014-05-17;2025.35668945;2060.86816406
Atletico;Espanol;H;1.33;4.75;9.5;SP1;2014-10-19;2051.5;1694.8894043
Eibar;Sevilla;D;3.6;3.4;2.1;SP1;2015-10-17;1661.60131836;1864.92614746
Valencia;Ath Bilbao;A;2.3;3.2;3.3;SP1;2016-02-28;1793.87353516;1791.69445801
Getafe;Granada;D;2.1;3.25;3.5;SP1;2014-03-14;1657.34313965;1670.46166992
Vallecano;Valladolid;A;1.91;3.6;3.8;SP1;2013-10-25;1664.99230957;1654.94299316
Sociedad;Espanol;D;1.85;3.79;4.0;SP1;2017-10-23;1756.60205078;1709.90368652
Alaves;Sevilla;H;3.25;3.25;2.29;SP1;2018-01-14;1643.95532227;1753.75524902
Las Palmas;Sp Gijon;D;1.95;3.5;4.0;SP1;2016-04-16;1715.22558594;1651.96691895
Celta;Leganes;A;1.65;3.75;5.75;SP1;2016-08-22;1780.38000488;1641.90563965
Alaves;Villarreal;A;3.1;3.1;2.4;SP1;2017-09-17;1700.54150391;1785.57189941
Sociedad;Vallecano;D;1.61;4.0;5.5;SP1;2013-09-25;1785.24572754;1651.03479004
Malaga;Barcelona;A;8.5;5.5;1.33;SP1;2016-01-23;1714.73486328;2051.81835938
Sevilla;Granada;H;1.4;4.5;8.0;SP1;2014-04-20;1839.61450195;1678.5267334
Valencia;Malaga;H;1.62;3.75;6.0;SP1;2015-10-17;1846.8125;1711.8614502
Sociedad;Valencia;H;2.25;3.3;3.3;SP1;2016-01-10;1701.71203613;1796.82971191
Sevilla;Elche;H;1.4;4.75;8.0;SP1;2015-03-15;1849.03283691;1663.13195801
