HomeTeam;AwayTeam;FTR;Div;Aposta;odd;resultado_aposta;retorno;faixa_odd
West Brom;Stoke;H;E1;H;2.04;ganha;104.0;(2.0, 2.25]
Wigan;Rotherham;H;E1;H;1.57;ganha;57.00000000000001;(1.5, 1.75]
Bristol City;Blackburn;H;E1;H;2.37;ganha;137.0;(2.25, 2.5]
Ipswich;Norwich;D;E1;H;3.0;perdida;-100.0;(2.5, 3.0]
Birmingham;West Brom;D;E1;H;3.7;perdida;-100.0;(3.5, 4.0]
Blackburn;Aston Villa;D;E1;H;2.8;perdida;-100.0;(2.5, 3.0]
Bolton;QPR;A;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Brentford;Wigan;H;E1;H;1.8;ganha;80.0;(1.75, 2.0]
Bristol City;Sheffield United;H;E1;H;2.75;ganha;175.0;(2.5, 3.0]
Hull;Ipswich;H;E1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Millwall;Leeds;D;E1;H;3.0;perdida;-100.0;(2.5, 3.0]
Norwich;Middlesbrough;H;E1;H;3.1;ganha;210.0;(3.0, 3.5]
Preston;Reading;A;E1;H;1.9;perdida;-100.0;(1.75, 2.0]
Rotherham;Derby;H;E1;H;3.8;ganha;280.0;(3.5, 4.0]
Sheffield Weds;Stoke;D;E1;H;3.0;perdida;-100.0;(2.5, 3.0]
Swansea;Nott'm Forest;D;E1;H;2.3;perdida;-100.0;(2.25, 2.5]
Aston Villa;Rotherham;H;E1;H;1.5;ganha;50.0;(1.25, 1.5]
Derby;Blackburn;D;E1;H;2.25;perdida;-100.0;(2.0, 2.25]
Ipswich;Brentford;D;E1;H;4.6;perdida;-100.0;(4.5, 5.0]
Leeds;Preston;H;E1;H;2.0;ganha;100.0;(1.75, 2.0]
Stoke;Swansea;H;E1;H;1.9;ganha;89.99999999999999;(1.75, 2.0]
West Brom;Bristol City;H;E1;H;1.95;ganha;95.0;(1.75, 2.0]
Wigan;Hull;H;E1;H;2.0;ganha;100.0;(1.75, 2.0]
Middlesbrough;Bolton;H;E1;H;1.44;ganha;43.99999999999999;(1.25, 1.5]
Nott'm Forest;Sheffield Weds;H;E1;H;1.95;ganha;95.0;(1.75, 2.0]
QPR;Millwall;H;E1;H;2.54;ganha;154.0;(2.5, 3.0]
Reading;Norwich;A;E1;H;3.0;perdida;-100.0;(2.5, 3.0]
Sheffield United;Birmingham;D;E1;H;1.85;perdida;-100.0;(1.75, 2.0]
Wigan;Bristol City;H;E1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Aston Villa;Sheffield Weds;A;E1;H;1.57;perdida;-100.0;(1.5, 1.75]
Derby;Brentford;H;E1;H;3.25;ganha;225.0;(3.0, 3.5]
Ipswich;Bolton;D;E1;H;2.0;perdida;-100.0;(1.75, 2.0]
Leeds;Birmingham;A;E1;H;1.8;perdida;-100.0;(1.75, 2.0]
Middlesbrough;Swansea;D;E1;H;1.7;perdida;-100.0;(1.5, 1.75]
Nott'm Forest;Rotherham;H;E1;H;1.64;ganha;63.99999999999999;(1.5, 1.75]
QPR;Norwich;A;E1;H;2.5;perdida;-100.0;(2.25, 2.5]
Reading;Hull;H;E1;H;2.5;ganha;150.0;(2.25, 2.5]
Sheffield United;Preston;H;E1;H;1.85;ganha;85.00000000000001;(1.75, 2.0]
Stoke;Blackburn;A;E1;H;2.04;perdida;-100.0;(2.0, 2.25]
West Brom;Millwall;H;E1;H;1.72;ganha;72.0;(1.5, 1.75]
Bristol City;Aston Villa;D;E1;H;2.5;perdida;-100.0;(2.25, 2.5]
Sheffield Weds;Leeds;D;E1;H;3.6;perdida;-100.0;(3.5, 4.0]
Birmingham;Ipswich;D;E1;H;1.95;perdida;-100.0;(1.75, 2.0]
Blackburn;Nott'm Forest;D;E1;H;2.35;perdida;-100.0;(2.25, 2.5]
Bolton;Derby;H;E1;H;4.0;ganha;300.0;(3.5, 4.0]
Brentford;Reading;D;E1;H;1.5;perdida;-100.0;(1.25, 1.5]
Hull;Middlesbrough;D;E1;H;3.6;perdida;-100.0;(3.5, 4.0]
